Release Date,Character,Rarity,Constellation Description,Word Count
2020-09-28,kukishinobu,4star,"Gyoei Narukami Kariyama Rite's AoE is increased by 50%. Grass Ring of Sanctification's duration is increased by 3s. Increases the Level of Sanctifying Ring by 3. Maximum upgrade level is 15. When the Normal, Charged, or Plunging Attacks of the character affected by Shinobu's Grass Ring of Sanctification hit opponents, a Thundergrass Mark will land on the opponent's position and deal AoE Electro DMG based on 9.7% of Shinobu's Max HP. This effect can occur once every 5s. Increase the Level of Gyoei Narukami Kariyama Rite by 3. Maximum upgrade level is 15. When Kuki Shinobu takes lethal DMG, this instance of DMG will not take her down. This effect will automatically trigger when her HP reaches 1 and will trigger once every 60s. When Shinobu's HP drops below 25%, she will gain 150 Elemental Mastery for 15s. This effect will trigger once every 60s.",145
2020-09-28,xiangling,4star,"Enemies hit by Guoba's attacks have their Pyro RES reduced by 15% for 6s. The last attack in a Normal Attack sequence applies the Implode status onto the enemy for 2s. An explosion will occur once this duration ends, dealing 75% of Xiangling's ATK as AoE Pyro DMG. Increases the Level of Pyronado by 3. Maximum upgrade level is 15. Pyronado's duration is increased by 40%. Increase the Level of Guoba Attack by 3. Maximum upgrade level is 15. For the duration of Pyronado, all party members receive a 15% Pyro DMG Bonus.",93
2020-09-28,noelle,4star,"While Sweeping Time and Breastplate are both in effect, the chance of Breastplate's healing effects activating is increased to 100%. Decreases the Stamina Consumption of Noelle's Charged Attacks by 20% and increases her Charged Attack DMG by 15%. Increases the Level of Breastplate by 3. Maximum upgrade level is 15. When Breastplate's duration expires or it is destroyed by DMG, it will deal 400% ATK of Geo DMG to surrounding enemies. Increase the Level of Sweeping Time by 3. Maximum upgrade level is 15. Sweeping Time increases Noelle's ATK by an additional 50% of her DEF. Additionally, every enemy defeated during the skill's duration adds 1s to the duration, up to 10s.",112
2020-09-28,razor,4star,"Picking up an Elemental Orb or Particle increases Razor's DMG by 10% for 8s. Increases CRIT Rate against enemies with less than 30% HP by 10%. Increases the Level of Lightning Fang by 3. Maximum upgrade level is 15. When casting Claw and Thunder (Press), enemies hit will have their DEF decreased by 15% for 7s. Increase the Level of Claw and Thunder by 3. Maximum upgrade level is 15. Every 10s, Razor's sword charges up, causing the next Normal Attack to release lightning that deals 100% of Razor's ATK as Electro DMG. When Razor is not using Lightning Fang, a lightning strike on an enemy will grant Razor an Electro Sigil for Claw and Thunder.",116
2020-09-28,lisa,4star,"Lisa recovers 2 Energy for every opponent hit while holding Violet Arc. A maximum of 10 Energy can be regenerated in this manner at any one time. Holding Violet Arc has the following effects: Increases DEF by 25%. Increases Lisa's resistance to interruption. Increases the Level of Lightning Rose by 3. Maximum upgrade level is 15. Increases the number of lightning bolts released by Lightning Rose by 1-3. Increase the Level of Violet Arc by 3. Maximum upgrade level is 15. When Lisa takes the field, she applies 3 stacks of Violet Arc's Conductive status onto nearby enemies. This effect can only occur once every 5s.",106
2020-09-28,beidou,4star,"When Stormbreaker is used: Creates a shield that absorbs up to 16% of Beidou's Max HP for 15s. This shield absorbs Electro DMG 250% more effectively. Stormbreaker's arc lightning can jump 2 additional targets. Increases the Level of Tidecaller by 3. Maximum upgrade level is 15. Within 10s of taking DMG, Beidou's Normal Attacks gain 20% additional Electro DMG. Increase the Level of Stormbreaker by 3. Maximum upgrade level is 15. During the duration of Stormbreaker, the Electro RES of surrounding enemies is decreased by 15%.",86
2020-09-28,chongyun,4star,The last attack of Chongyun's Normal Attack combo releases 3 ice blades. Each blade deals 50% of Chongyun's ATK as Cryo DMG to all enemies in its path. Elemental Skills and Elemental Bursts cast within the Frost Field created by Spirit Blade - Chongyun's Layered Frost have their CD time decreased by 15%. Increases the Level of Spirit Blade - Cloud-parting Star by 3. Maximum upgrade level is 15. Chongyun regenerates 1 Energy every time he hits an enemy affected by Cold or Frozen status effects. This effect can only occur once every 2s. Increases the level of Spirit Blade - Chongyun's Layered Frost by 3. Maximum upgrade level is 15. Spirit Blade - Cloud-parting Star deals 15% more DMG to enemies with a lower percentage of their Max HP remaining than Chongyun. This skill will also summon 1 additional spirt blade.,142
2022-06-21,kukishinobu,4star,"Gyoei Narukami Kariyama Rite's AoE is increased by 50%. Grass Ring of Sanctification's duration is increased by 3s. Increases the Level of Sanctifying Ring by 3. Maximum upgrade level is 15. When the Normal, Charged, or Plunging Attacks of the character affected by Shinobu's Grass Ring of Sanctification hit opponents, a Thundergrass Mark will land on the opponent's position and deal AoE Electro DMG based on 9.7% of Shinobu's Max HP. This effect can occur once every 5s. Increase the Level of Gyoei Narukami Kariyama Rite by 3. Maximum upgrade level is 15. When Kuki Shinobu takes lethal DMG, this instance of DMG will not take her down. This effect will automatically trigger when her HP reaches 1 and will trigger once every 60s. When Shinobu's HP drops below 25%, she will gain 150 Elemental Mastery for 15s. This effect will trigger once every 60s.",145
2020-09-28,diluc,5star,"Diluc deals 15% more DMG to enemies whose HP is above 50%. When Diluc takes DMG, his Base ATK increases by 10% and his ATK SPD increases by 5%. Lasts for 10s. This effect can stack up to 3 times and can only occur once every 1.5s. Increases the Level of Searing Onslaught by 3. Maximum upgrade level is 15. Casting Searing Onslaught in sequence greatly increases damage dealt. Within 2s of using Searing Onslaught, casting the next Searing Onslaught in the combo deals 40% additional DMG. This effect lasts for the next 2s. Increases the level of Dawn by 3. Maximum upgrade level is 15. After casting Searing Onslaught, the next 2 Normal Attacks within the next 6s will have their DMG and ATK SPD increased by 30%. Additionally, Searing Onslaught will not interrupt the Normal Attack combo.",139
2020-09-28,jean,5star,"Increases the pulling speed of Gale Blade after holding for more than 1s, and increases the DMG dealt by 40%. When Jean picks up an Elemental Orb/Particle, all party members have their Movement SPD and ATK SPD increased by 15% for 15s. Increases the Level of Dandelion Breeze by 3. Maximum upgrade level is 15. Within the Field created by Dandelion Breeze, all enemies have their Anemo RES decreased by 40%. Increase the Level of Gale Blade by 3. Maximum upgrade level is 15. Incoming DMG is decreased by 35% within the Field created by Dandelion Breeze. Upon leaving the Dandelion Field, this effect lasts for 3 attacks or 10s.",110
2020-09-28,traveler(geo),5star,"Allies within the radius of Wake of Earth have their CRIT Rate increased by 10% and have increased resistance against interruption. When the meteorite created by Starfell Sword is destroyed, it will also explode, dealing additional AoE Geo DMG equal to the amount of damage dealt by Starfell Sword. Increases the Level of Wake of Earth by 3. Maximum upgrade level is 15. The shockwave triggered by Wake of Earth regenerates 5 Energy for every enemy hit. A maximum of 25 Energy can be recovered in this manner at any one time. Increase the Level of Starfell Sword by 3. Maximum upgrade level is 15. The barrier created by Wake of Earth lasts 5s longer. The meteorite created by Starfell Sword lasts 10s longer.",124
2020-09-28,traveler(electro),5star,"The number of Abundance Amulets that can be generated using Lightning Blade is increased to 3. When Falling Thunder created by Bellowing Thunder hits an opponent, it will decrease their Electro RES by 15% for 8s. Increases the Level of Bellowing Thunder by 3. Maximum upgrade level is 15. When a character obtains Abundance Amulets generated by Lightning Blade, if this character's Energy is less than 35%, the Energy restored by the Abundance Amulets is increased by 100%. Increase the Level of Lightning Blade by 3. Maximum upgrade level is 15. Every 2 Falling Thunder attacks triggered by Bellowing Thunder will increase the DMG dealt by the next Falling Thunder by 100%, and will restore an additional 1 Energy to the current character.",123
2020-09-28,traveler(hydro),5star,"Picking up a Sourcewater Droplet will restore 2 Energy to the Traveler. Requires the Passive Talent ""Spotless Waters."" The Movement SPD of Rising Waters' bubble will be decreased by 30%, and its duration increased by 3s. Increases the Level of Aquacrest Saber by 3. Maximum upgrade level is 15. When using Aquacrest Saber, an Aquacrest Aegis that can absorb 10% of the Traveler's Max HP in DMG will be created and will absorb Hydro DMG with 250% effectiveness. It will persist until the Traveler finishes using the skill. Once every 2s, after a Dewdrop hits an opponent, if the Traveler is being protected by Aquacrest Aegis, the DMG Absorption of the Aegis will be restored to 10% of the Traveler's Max HP. If the Traveler is not presently being protected by an Aegis, one will be redeployed. Increase the Level of Rising Waters by 3. Maximum upgrade level is 15. When the Traveler picks up a Sourcewater Droplet, they will restore HP to the nearest party member with the lowest HP percentage remaining based on 6% of their Max HP.",180
2020-09-28,traveler(anemo),5star,"Palm Vortex pulls in enemies within a 5m radius. Increases Energy Recharge by 16%. Increases the Level of Gust Surge by 3. Maximum upgrade level is 15. Reduces DMG taken while casting Palm Vortex by 10%. Increase the Level of Palm Vortex by 3. Maximum upgrade level is 15. Targets who take DMG from Gust Surge have their Anemo RES decreased by 20%. If an Elemental Absorption occurred, then their RES towards the corresponding Element is also decreased by 20%.",80
2020-09-28,traveler(dendro),5star,"After Razorgrass Blade hits an opponent, it will regenerate 3.5 Energy for the Traveler. Lea Lotus Lamp's duration is increased by 3s. Increases the Level of Razorgrass Blade by 3. Maximum upgrade level is 15. After the Lea Lotus Lamp triggers a Lotuslight Transfiguration, it will obtain 5 stacks of the Overflowing Lotuslight effect from the Passive Talent ""Verdant Overgrowth."" You must have unlocked this Passive Talent first. Increase the Level of Surgent Manifestation by 3. Maximum upgrade level is 15. The Dendro DMG Bonus of the character under the effect of Overflowing Lotuslight as created by the Lea Lotus Lamp is increased by 12%. If the Lamp has experienced a Lotuslight Transfiguration previously, the character will also gain 12% DMG Bonus for the corresponding element.",126
2020-09-28,qiqi,5star,"When the Herald of Frost hits an enemy marked by a Fortune-Preserving Talisman, Qiqi regenerates 2 Energy. Qiqi's Normal and Charge Attack DMG against enemies affected by Cryo is increased by 15%. Increases the Level of Adeptus Art: Preserver of Fortune by 3. Maximum upgrade level is 15. Targets marked by the Fortune-Preserving Talisman have their ATK decreased by 20%. Increase the Level of Adeptus Art: Herald of Frost by 3. Maximum upgrade level is 15. Using Adeptus Art: Preserve of Fortune revives all nearby fallen characters and regenerates 50% of their HP. This effect can only occur once every 15 mins.",102
2020-09-28,mona,5star,"The effects of Hydro-related Elemental Reactions are enhanced for 8s after a character hits an enemy affected by an Omen: Electro-Charged DMG is increased by 15%. Vaporize DMG is increased by 15%. Hydro Swirl DMG is increased by 15%. The duration for which enemies are Frozen is increased by 15%. When a Normal Attack hits, there is a 20% chance that it will be automatically followed by a Charged Attack. This effect can only occur once every 5s. Increases the Level of Stellaris Phantasm by 3. Maximum upgrade level is 15. When a character attacks an enemy affected by the Omen status effect, their CRIT Rate is increased by 15%. Increase the Level of Mirror Reflection of Doom by 3. Maximum upgrade level is 15. Upon entering Illusory Torrent, Mona gain a 60% increase to the DMG her next Charged Attack per second of movement. A maximum DMG Bonus of 180% can be achieved in this manner. The effect lasts for no more than 8s.",165
2020-09-28,keqing,5star,"Recasting Stellar Restoration while a Lightning Stiletto is present causes Keqing to deal 50% of her ATK as AoE Electro DMG at the start point and terminus of her Blink. When Keqing's Normal and Charged Attack's hit enemies affected by Electro, they have a 50% chance of producing an Elemental Particle. This effect can only occur once every 5s. Increases the Level of Starward Sword by 3. Maximum upgrade level is 15. For 10s after Keqing triggers an Electro-related Elemental Reaction, her ATK is increased by 25%. Increase the Level of Stellar Restoration by 3. Maximum upgrade level is 15. When initiating a Normal Attack, Charged Attack, Elemental Skill or Elemental Burst, Keqing gains a 6% Electro DMG Bonus for 8s. Effects triggered by Normal Attacks, Charged Attacks, Elemental Skills and Elemental Bursts are considered independent entities.",137
